"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271925552638,0.0600010960631609,-40.3779166463238,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20195543505275,0.0724168147348462,44.2156348187461,0,0,"TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31373757506788,0.0575528347565011,-40.2019741487454,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.0596313822052,0.0538443662310793,-38.2515669952554,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.88801938130619,0.0431675200590719,-43.7370360567983,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.64979201572237,0.0439349883070586,-37.5507557710518,0,0,"FLNB","2317","filamin B"
"ENSG00000164251",2348.7701339719,3.34450835184206,0.0690714213895429,48.4210152992219,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228796466492,0.0617082385837156,38.767724044164,0,0,"SOX4","6659","SRY-box transcription factor 4"
"ENSG00000124762",28106.1191885778,1.83225777982185,0.0388960588449427,47.1065150103268,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404650365401,0.0419159197702306,-43.9939410553906,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26608048724189,0.05526769266445,41.0019014363433,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252546226989,0.055217777163058,40.9745842464584,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19605836159352,0.0757846578410818,-42.1728942590934,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976295106565,0.0543250152319401,38.2837067267467,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841813000869,0.0505763729256814,-38.3265548294076,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.0373620693379,0.0462968071401106,44.0065351196275,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95054949906209,0.0435948922644686,44.7426154245106,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52372173524125,0.0653977913431055,38.5903206119103,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85825312938509,0.0865183264278443,44.5946343241261,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40668777138166,0.0581373421724956,-41.3965909250018,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418916782048,0.0696217728195489,-42.0010730752235,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234577408978,0.0404430025943255,-52.9719762792877,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53453048118251,0.0670971686681514,37.7740302831222,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.33893118349077,0.0358584298843059,-37.3393700675327,3.77205241963236e-305,2.31886922496899e-302,"ENO1","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.66815955535799,0.0447575885127007,37.2709882455938,4.84458071145436e-304,2.85907775267191e-301,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80533074373843,0.0488619849947557,36.947552252169,7.97340907781871e-299,4.5246029820822e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763708587649,0.0550455569998035,36.8356175573575,4.97000061520318e-297,2.71582922506325e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.0634938634,2.54493705374301,0.0693611065412399,36.6911253388074,1.01167798965337e-294,5.33082037833781e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.14808673373781,0.0589059563320607,-36.4663756858264,3.78502189132729e-291,1.92566251671182e-288,"MGLL","11343","monoglyceride lipase"
"ENSG00000104081",804.838487338129,4.43413656596505,0.121636264555387,36.4540672321121,5.9307916226488e-291,2.91676332001868e-288,"BMF","90427","Bcl2 modifying factor"
"ENSG00000166073",2268.80918089117,-2.20667084101372,0.0608215288033858,-36.2810814596111,3.21627802660292e-288,1.53074083885482e-285,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000165434",1243.14971044106,2.5172359807096,0.0694011064224301,36.2708335712649,4.66579776905617e-288,2.15122438389546e-285,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000091527",2814.15907315816,-1.81023336615986,0.0499744834867281,-36.2231530945309,2.63072927468992e-287,1.17617514299318e-284,"CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501314846984,0.0535347708029382,36.1449786642898,4.46157533685505e-286,1.93606125058704e-283,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000117724",1324.17284690485,-2.82511197082347,0.0781711565952423,-36.1400815066796,5.32617249127025e-286,2.20808865557517e-283,"CENPF","1063","centromere protein F"
"ENSG00000101825",1024.97040543336,3.28766306985325,0.0909707963028034,36.1397635666506,5.38777223808501e-286,2.20808865557517e-283,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000198959",5110.85796803933,-1.74624590388829,0.0487927036900597,-35.7890785265921,1.63320086164274e-280,6.51249878721001e-278,"TGM2","7052","transglutaminase 2"
"ENSG00000164938",1395.92210584831,2.31778203820948,0.0656152631721674,35.3238244602916,2.53018976311993e-273,9.82379467501881e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021858,-2.30515287501605,0.0653955502881703,-35.2493841684676,3.50629719778566e-272,1.32645920143922e-269,"FERMT2","10979","FERM domain containing kindlin 2"
"ENSG00000143799",1043.84682510942,-2.61747584010377,0.0743745643882367,-35.1931585970776,2.54442669267164e-271,9.38511785591935e-269,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.83743506952056,0.0806591543275052,35.1780909826993,4.32536411642988e-271,1.55649810180016e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000110002",899.504360793506,4.43907474375568,0.126316291208632,35.14253546618,1.51144166594998e-270,5.30947865224429e-268,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01204015381387,0.0861134463682015,-34.977582257422,4.9325703597841e-268,1.69244518809894e-265,"TPX2","22974","TPX2 microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.4140185215221,0.069067724234008,-34.9514704341956,1.22999272377628e-267,4.12438923786255e-265,"RTN3","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.35786045771804,0.0676830023780681,34.8368183276999,6.7422295112579e-266,2.21055231575776e-263,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.73283931347473,0.0497509875454556,34.8302495883424,8.47729429010502e-266,2.71899999904803e-263,"SVIL","6840","supervillin"
"ENSG00000182752",6930.41939676306,2.01487024037728,0.058836000496211,34.2455337443787,5.08288895458593e-257,1.59559454544597e-254,"PAPPA","5069","pappalysin 1"
"ENSG00000198901",744.768135087352,-3.17652098680993,0.0928699941143384,-34.2039537861832,2.111863974207e-256,6.49134189071878e-254,"PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000277443",2830.20102519863,-1.92971760125405,0.0569238040137112,-33.9000113342609,6.65909922629383e-252,2.00506836703549e-249,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.3849250663,1.40989020143829,0.0418057658709208,33.7247786774547,2.50537453276581e-249,7.39285917128536e-247,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000146072",1758.22981855472,2.05910890869527,0.0611318043191186,33.6831037727329,1.02193308579059e-248,2.95639230348124e-246,"TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000145632",3262.15452178144,1.54674959587665,0.0460239498967602,33.6074934755988,1.30380286335818e-247,3.69928989345896e-245,"PLK2","10769","polo like kinase 2"
"ENSG00000140943",1848.88777327798,-1.89361782394478,0.0564680739017169,-33.5343087359528,1.5246334068934e-246,4.24423420477458e-244,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.26703399212,-1.70354660780873,0.0509596333475763,-33.4293340807515,5.13993926892765e-245,1.40434562914368e-242,"PLS3","5358","plastin 3"
"ENSG00000135046",4581.91768778281,-1.46401593518423,0.0439324144409946,-33.3242767057691,1.71857013975815e-243,4.61014251672578e-241,"ANXA1","301","annexin A1"
"ENSG00000081923",1549.06690179341,-2.52988621475779,0.0760088196653236,-33.2841139475287,6.55537122917716e-243,1.72710619848714e-240,"ATP8B1","5205","ATPase phospholipid transporting 8B1"
"ENSG00000163346",2917.79069939981,1.8105666381839,0.054703154862414,33.0980295878315,3.17232623726396e-240,8.21131601834956e-238,"PBXIP1","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.67043987816,1.72415485135814,0.052269797820979,32.9856805121625,1.30331477020508e-238,3.31536312406996e-236,"SPRY4","81848","sprouty RTK signaling antagonist 4"
"ENSG00000163017",4893.9021785664,-1.87095251202738,0.0567959453577899,-32.9416563143934,5.57026701056e-238,1.39294439786105e-235,"ACTG2","72","actin gamma 2, smooth muscle"
"ENSG00000152894",4900.8667898464,1.68614756336906,0.0515032947077721,32.7386349346426,4.40662946819175e-235,1.08359018622835e-232,"PTPRK","5796","protein tyrosine phosphatase receptor type K"
"ENSG00000143341",2279.33849385387,2.05720948403877,0.0629921121128921,32.6582077507088,6.12771575194335e-234,1.48210357711758e-231,"HMCN1","83872","hemicentin 1"
"ENSG00000115461",200904.539632615,1.27117471224791,0.038986772959402,32.6052816315836,3.4519091315717e-233,8.21443021406594e-231,"IGFBP5","3488","insulin like growth factor binding protein 5"
"ENSG00000104321",7567.20986030083,3.29744633697212,0.101231296318792,32.5733884369905,9.76966579469497e-233,2.28796268468142e-230,"TRPA1","8989","transient receptor potential cation channel subfamily A member 1"
"ENSG00000113721",11145.9451572206,1.38865862042447,0.0428969222253038,32.3719872752393,6.80565933426579e-230,1.56891715340246e-227,"PDGFRB","5159","platelet derived growth factor receptor beta"
"ENSG00000164924",9585.69435022083,-1.33707455145016,0.0417120973751566,-32.0548386580655,1.87966742987616e-225,4.2665558862143e-223,"YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000173334",1074.47707273372,2.41256200764746,0.0759161805173621,31.7792859335923,1.2513269490087e-221,2.79728451601127e-219,"TRIB1","10221","tribbles pseudokinase 1"
"ENSG00000160014",4226.55595021453,-1.42461133426353,0.0449225463636773,-31.7126131437512,1.04112986085589e-220,2.2926611891146e-218,"CALM3","808","calmodulin 3"
"ENSG00000148175",3890.72249473237,1.38275935804597,0.0437420568819701,31.6116675029045,2.55246195769989e-219,5.53809172410356e-217,"STOM","2040","stomatin"
"ENSG00000171951",793.124579134864,2.98016310346512,0.0943818493365969,31.5755955664407,7.98720836213726e-219,1.70787350978222e-216,"SCG2","7857","secretogranin II"
"ENSG00000153234",635.93920101828,4.32640776272822,0.137032334028124,31.5721672071957,8.90129062956253e-219,1.87613774212236e-216,"NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
"ENSG00000164761",5291.78842553364,1.48922391994873,0.0474097751791223,31.411748195856,1.39854649374201e-216,2.90621900967177e-214,"TNFRSF11B","4982","TNF receptor superfamily member 11b"
"ENSG00000134057",780.375869741297,-2.66975910748783,0.0850913623391758,-31.3752070021646,4.40945124794465e-216,9.03570051557991e-214,"CCNB1","891","cyclin B1"
"ENSG00000135074",13374.6004179129,1.14188898525495,0.0363981548365202,31.3721668140505,4.85121342683641e-216,9.80476752048554e-214,"ADAM19","8728","ADAM metallopeptidase domain 19"
"ENSG00000128591",23487.8410667789,-1.3308414065796,0.0432780669443462,-30.7509438508658,1.18776527820117e-207,2.36814715061892e-205,"FLNC","2318","filamin C"
